
qstr_Next_Page|下 一 页 
qstr_{!}_Military_strengt|{!} Military strength check: Player faction score {reg0}, target faction score {reg1}, benchmark score {reg2}
qstr_{!}_Player_faction_s|{!} Player faction score for recognition is {reg0}, needs to be at least {reg1}
qstr_Find_and_speak_with_|找 到 并 请 求 {s4}的 {s3}让 {reg4?她 :他 } 接 受 你 的 忠 诚 誓 言 。 
qstr__We_will_of_course_n|我 们 得 等 到 王 国 不 再 发 动 战 役 的 时 候 。 
qstr_{!}Party_at_address_|{!}Party at address {reg0} named {s0} has slot party type {reg1} (not castle or town)
qstr__{s1}_has_been_accep|{s1}被 接 纳 成 为 了 {s2}的 封 臣 。 
qstr_I_am_{s4}_the_ruler_|我 是 {s4}，{s6}的 统 治 者 。 
qstr_I_am_{s4}_{s8}_of_{s|我 是 {s4}，{s9}的 {s8} 。 
qstr_I_am_{s4}_a_vassal_o|我 是 {s4}，{s6}的 一 个 封 臣 。 
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?而 且 是 {s8}的 领 主 。 :} 。 
qstr_{s13}_asked_you_to_g|{s13}要 你 收 集 {reg3}头 牛 ，并 给 {reg65?她 :他 }送 去 。 
qstr_{s9}_wants_you_to_fo|{s9}希 望 你 能 在 收 到 下 一 步 的 指 令 前 跟 随 他 的 部 队 。 
qstr_{s9}_asked_you_to_sc|{s9}要 你 侦 察 {s13}，{s14}和 {s15}，然 后 向 他 汇 报 。 
qstr_pupil|学 徒 
qstr_{!}_DEBUG___current_|{!} 调 试 ：当 前 王 国 分 数 {reg0} vs 玩 家 王 国 分 数 {reg1}
qstr_{!}DEBUG_support_che|{!}调 试 ：支 持 者 检 查 ， {s4} {s0}，阈 值 {s1}
qstr_{!}DEBUG_support_chec|{!}调 试 ：支 持 者 检 查 ，{s3} {s0}，阈 值 {s1}
qstr_{!}_DEBUG____affilia|{!}调 试 ： 隶 属 的 家 族 成 员 ，按 最 高 逻 辑 继 续 执 行 
qstr_{!}DEBUG___liege_sco|{!}调 试 ：君 主 分 数 {reg0} vs 玩 家 分 数 {reg1}
qstr_{!}DEBUG_:_result_fo|{!}调 试 ：政 治 问 题 结 果 是 {reg3}
qstr_{!}DEBUG_:_result_for|{!}调 试 ：新 君 主 的 结 果 ：{reg31}
qstr_{!}DEBUG_:_result_for_|{!}调 试 ：老 君 主 的 结 果 ： {reg32}
qstr_You_are_challenging_|你 准 备 向 我 发 起 决 斗 ？ 开 什 么 玩 笑 ！ 如 你 所 愿 ，{playername}，打 扁 你 的 头 将 会 是 非 常 有 意 思 的 事 情 。 
qstr_{s16}_and_{s17}|{s16}和 {s17}
qstr_{!}{s16}_{s17}|{!}{s16}，{s17}
qstr_Very_well_I_will_acc|很 好 ，如 果 你 再 次 庄 严 地 向 我 宣 誓 ，我 可 以 接 受 你 回 到 我 这 边 来 。 
qstr_A_pardon_will_only_b|我 不 会 宽 恕 你 ，除 非 你 把 {s17}割 让 给 我 。 你 同 意 我 开 出 的 条 件 吗 ？ 
qstr_No._There_is_no_chan|不 ，我 们 之 间 没 有 机 会 保 持 和 平 ，我 对 此 不 感 兴 趣 。 
qstr_{!}DEBUG_:_Initiativ|{!}调 试 ： 主 动 性 {reg4}，帮 助 性 {reg5}
qstr_{!}DEBUG____ai_behav|{!}调 试 ：AI 行 为 ： {reg0}，AI 目 标 ：{reg1}
qstr_{s1}_exchanged_{s2}_|{s1}用 {s2}和 {s3}交 换 {s4} 。 
qstr_Our_marshal_{s1}|我 们 的 元 帅 ，{s1}
qstr_Our_liege_{s1}|我 们 的 国 王 , {s1}
qstr_go_on_the_offensive_|立 刻 进 攻 。 
qstr_act_to_defend_our_la|保 卫 领 土 。 
qstr_take_more_time_to_ga|多 花 点 时 间 来 集 结 军 队 。 
qstr_{!}ERROR:_Tried_to_o|{!}错 误 ：尝 试 将 {reg1}作 为 封 地 给 予 玩 家 ，但 该 土 地 不 属 于 领 导 人 的 派 系 。
qstr_You_promised_to_help|你 许 诺 帮 助 {s13}取 得 {s14}的 王 位 。 
qstr_What_do_you_say_to_e|你 认 为 投 靠 {s9}当 一 名 佣 兵 队 长 怎 么 样 ？ 我 觉 得 毫 无 疑 问 你 将 胜 任 这 个 工 作 。 
qstr_{s9}_asked_you_to_ta|{s9}要 你 带 一 封 信 给 {s13} 。 在 你 接 受 这 个 任 务 的 时 候 ，{s13}确 信 在 {s4} 。 
qstr_{s9}_asked_you_to_tak|{s9}要 你 带 一 封 信 给 {s15}的 {s13} 。 在 你 接 受 这 个 任 务 的 时 候 ，{s13}确 信 在 {s4} 。 
qstr_{s11}_asked_you_to_e|{s11}要 你 护 送 {reg65?她 :他 } 的 {s17}{s13}到 {s14} 。 
qstr_{s13}_asked_you_to_d|{s13}要 你 对 付 那 些 盘 踞 在 {s15}村 的 {s12} ，并 回 来 向 {reg65?她 :他 } 报 告 情 况 。 
qstr_{s9}_asked_you_to_ra|{s9}要 求 帮 他 培 养 {reg1}名 {s14}，并 给 {reg65?她 :他 } 送 去 。 
qstr_{s9}_asked_you_to_co|{s9}要 你 去 {s3}征 税 。 {reg65?她 :他 } 答 应 将 所 收 税 金 的 1/5 分 给 你 。 
qstr_{s9}_asked_you_to_hu|{s9}要 你 抓 捕 一 个 名 叫 {s4}的 通 缉 犯 。 有 消 息 称 他 出 现 在 {s3}。 
qstr_{s9}_asked_you_to_as|{s9}要 你 杀 死 {s3}当 地 的 一 名 商 人 。 
qstr_{s9}_has_asked_you_t|{s9}要 你 到 {s13}见 一 个 间 谍 。 
qstr_{s11}_asked_you_to_f|{s11}要 你 跟 踪 将 要 离 开 {s12}的 间 谍 。 你 必 须 小 心 ，别 让 他 在 半 路 发 现 你 ，否 则 他 可 能 会 起 疑 心 并 折 返 。 一 旦 间 谍 与 {reg3?她 :她 } 的 同 伙 接 头 ，你 就 要 实 施 抓 捕 并 把 他 们 带 回 {s11} 。 
qstr_{s11}_asked_you_to_c|{s11}要 你 抓 捕 {s13}的 任 意 一 个 领 主 ， 然 后 把 这 个 倒 霉 蛋 带 到 {s11}严 密 监 禁 起 来 。 
qstr_{s9}_asked_you_to_le|{s9}要 你 把 你 的 同 伴 {s3}借 给 {reg65?她 :他 } 一 个 星 期 。 
qstr_{s9}_asked_you_to_col|{s9}要 你 帮 他 去 讨 要 {s3}欠 他 的 {reg4}第 纳 尔 。 当 你 接 受 这 个 任 务 的 时 候 {s3}正 在 {s4} 。 
qstr_{s11}_gave_you_a_fak|{s11} 要 你 送 一 封 伪 造 的 信 给 {s13}，让 {reg3?她 :他 } 上 当 并 流 放 {reg3?她 :他 } 的 封 臣 {s16} 。 你 需 要 到 {s14}附 近 ，把 信 交 给 你 的 一 个 {s15}，让 {reg4?她 :他 } 作 为 信 使 进 入 城 中 。 切 记 不 要 让 你 的 人 对 这 次 任 务 产 生 怀 疑 。
qstr_{s9}_has_requested_y|{s9}要 你 帮 {reg65?她 :他 } 抓 捕 {reg1}个 {s3}俘 虏 。 
qstr_Lend_your_experience|把 你 的 老 练 的 外 科 医 生 {s3}借 给 {s1}。 
qstr_{!}DEBUG____{reg4}_h|{!}调 试 ：已 经 过 {reg4}小 时 ，距 离 {s4}举 办 的 上 次 宴 会 
qstr_Then_take_it_with_my|收 下 这 些 ，这 些 代 表 我 永 恒 的 谢 意 。 你 是 一 个 高 尚 的 {人 /人 } 。 我 永 远 都 不 会 忘 记 你 在 我 最 需 要 的 时 候 帮 助 了 我 。 
qstr_Forgive_me_{playerna|原 谅 我 ，{playername}，但 是 我 坚 持 要 让 你 收 下 它 。 这 些 钱 对 我 来 说 算 不 了 什 么 ，我 欠 你 的 太 多 了 。 给 你 ，拿 去 吧 ，我 们 不 要 再 谈 这 个 了 。 
qstr_{playername}_what_a_|{playername}，你 是 一 个 多 么 可 爱 的 {人 /人 }，但 是 我 不 允 许 你 拒 绝 这 个 ，我 欠 你 的 比 我 说 的 还 多 ， 我 相 信 你 比 我 更 能 用 好 这 些 钱 。 
qstr_{s11}_asked_you_to_r|{s11}要 你 从 {s14}救 出 她 的 {s17}，{s13} 。 你 得 跟 {reg4?她 :他 } 交 换 衣 服 并 代 替 他 呆 在 监 狱 里 。 
qstr_{s11}_asked_you_to_re|{s11}要 你 从 {s14}救 出 她 的 {s17}，{s13} 。 
qstr_{s11}_asked_you_to_d|{s11}要 你 送 信 给 被 囚 禁 在 {s14}的 {s13} 。 
qstr_You_agreed_to_challe|你 同 意 挑 战 {s13}以 维 护 {s11}的 名 誉 。 
qstr_{s5}__Persuasion_str|{s5}（ 说 服 力 ： {reg5}） 
qstr_Persuasion_Attempt|尝 试 说 服 
qstr_{s1}_at_the_behest_o|{s1}在 {s2}的 命 令 下 
qstr_{!}DEBUG:_Gossip_for|{!}调 试 ：{reg3}部 队 的 流 言 
qstr_{!}DEBUG:_{s3}|{!}调 试 ：{s3}
qstr_A_villager_from_{s7}|一 个 从 {s7}来 的 村 民 恳 求 你 ，希 望 你 能 把 他 们 的 村 子 从 强 盗 手 里 解 救 出 来 。 
qstr_{!}There_is_a_local_|{!}当 地 盛 产 {s6}。
qstr_{!}{s6}_must_be_impo|{!}{s6}必 须 依 靠 进 口 ，致 使 价 格 从 {reg0} 变 为 {reg1}.
qstr_{!}There_is_a_local_s|{!}当 地 盛 产 {s11}。
qstr_{!}{s9}_must_be_impo|{!}{s9}必 须 依 靠 进 口 ，致 使 价 格 从 {reg0} 变 为 {reg1}.
qstr_yet_to_be_announced|尚 未 被 公 布 
qstr_The_Guildmaster_of_{|{s13}的 镇 长 要 你 解 决 村 子 周 围 的 劫 匪 。 
qstr_{s9}_of_{s3}_asked_y|{s3}的 {s9}要 你 在 7 天 内 带 {reg5}个 {s6}到 {s4}的 酒 馆 。 
qstr_{s9}_of_{s3}_asked_yo|{s3}的 {s9}要 你 在 7 天 内 带 {reg5}个 {s6}到 {s4}的 商 人 店 铺 。
qstr_Escort_the_merchant_|护 送 商 人 的 商 队 前 往 {s8}镇 。 
qstr_Merchant_{s9}_of_{s4|{s4}的 {s9}要 你 消 灭 在 镇 子 附 近 的 难 对 付 的 强 盗 。 
qstr_Guildmaster_of_{s4}_|{s4}的 镇 长 给 你 {reg12}第 纳 尔 ，作 为 女 孩 的 赎 金 。 你 要 在 {s3}附 近 和 强 盗 会 面 ，赎 回 女 孩 并 带 回 {s4} 。 
qstr_Guildmaster_of_{s4}_p|{s4}的 镇 长 答 应 给 你 {reg12}第 纳 尔 ，如 果 你 能 确 保 {s12}和 {s13}不 会 对 {s15}和 {s14}之 间 的 和 平 协 议 构 成 威 胁 。 你 得 说 服 他 们 或 者 把 他 们 扔 进 大 牢 直 到 和 平 协 议 被 正 式 签 订 。 
qstr_The_Guildmaster_of_{s|{s14}的 镇 长 要 你 解 决 一 群 游 荡 在 {s14}街 道 上 的 强 盗 。 他 们 只 在 晚 上 出 来 ，袭 击 街 道 上 落 单 的 旅 行 者 。 
qstr_Guildmaster_of_{s10}|{s10}的 镇 长 要 你 把 一 群 牛 赶 到 {s13}去 。 你 将 会 获 得 {reg8}第 纳 尔 的 报 酬 。 
qstr_{reg4?She:He}_is_not|{reg4?她 :他 } 当 前 并 未 率 领 任 何 部 队 。
qstr_{reg4?She:He}_curren|{reg4?她 :他 } 当 前 并 未 率 领 {reg0}人 的 部 队 {reg1?， 其 中 {reg1} 人 受 伤 :}。
qstr_The_elder_of_the_vil|{s3}村 的 村 长 要 你 带 {reg5}袋 小 麦 给 他 。 
qstr_The_elder_of_the_vill|{s13}村 的 村 长 要 你 协 助 训 练 {reg5}个 农 民 以 抵 抗 当 地 的 强 盗 。 
qstr_The_elder_of_the_villa|{s3}村 的 村 长 要 你 带 {reg5}头 牛 给 他 。 
qstr_{s16}_and_{s15}|{s16}和 {s15}
qstr_{!}{s16}_{s15}|{!}{s16}，{s15}
qstr_your_lordship|你 的 贵 族 身 份 
qstr_A_{s5}?_Well..._Yes_|{s5}？ 呃 …… 是 的 ，我 想 是 这 样 。 问 了 一 个 多 么 奇 怪 的 问 题 啊 。 
qstr_Eh?_No_it_most_certa|是 吗 ？ 基 本 可 以 肯 定 那 不 是 一 个 {s5} 。 如 果 我 是 你 的 话 ，我 会 怀 疑 自 己 的 视 力 是 否 有 问 题 。 
qstr_This_is_the_{reg4?to|这 里 是 {s5}{reg4?镇 :村 }，{先 生 /夫 人 } 。 
qstr_{s6}_Our_{reg4?town:|{s6}我 们 {reg4?镇 :村 }及 周 围 的 土 地 属 于 你 ，我 的 {大 人 /夫 人 } 。 
qstr_{s6}_Our_{reg4?town:v|{s6}我 们 {reg4?镇 :村 }及 周 围 的 土 地 属 于 {s8}的 {s7} 。 
qstr_{s3}_and_{s5}|{s3}和 {s5}
qstr_{!}{s3}_{s5}|{!}{s3}，{s5}
qstr_{reg20?We_mostly_pro|{reg20?我 们 这 里 主 要 出 产 {s5}:这 些 天 我 们 这 里 没 有 太 多 出 产 } 。 如 果 你 想 了 解 更 多 的 情 况 ，你 可 以 去 问 我 们 的 {reg4?镇 长 :村 长 } 。 他 就 在 附 近 ，看 ，就 在 那 边 。 
qstr_{!}DEBUG____Total_pro|{!}调 试 ：{s4}的 总 产 值 ： {reg4}
qstr_{!}DEBUG____Total_ru|{!}调 试 ：{s4}地 区 的 农 村 总 产 值 : {reg4}
qstr_{!}DEBUG____Total_tr|{!}调 试 ：{s4}的 总 贸 易 额 ： {reg4}
qstr_{!}DEBUG____Total_at|{!}调 试 ：{s4}遭 到 的 袭 击 数 量 ： {reg4}
qstr_Perhaps_you_have_for|可 能 你 已 经 忘 记 了 你 父 亲 的 面 容 。
qstr__Next_pay_day:_{s1}| 下 次 发 工 资 日 期 : {s1}
qstr_{s1}^^Affiliated_to_|{s1}^^附 属 于 {s5}
qstr_{!}{s4}:_M{reg3}_2M|{!}{s4}：M{reg3}，2M{reg4}，PC{reg5}，2PC{reg6}，PM{reg7}
qstr_Back_to_the_beginnin|退 回 开 始 …… 
qstr_View_next_segment...|查 看 下 一 部 分 …… 
qstr_{!}__|{!} -
qstr_{!}_+|{!} +
qstr_^No_food:___{reg7}|^ 没 有 食 物 ： -{reg7}
qstr_^Wage_debt:___{reg6}|^ 拖 欠 工 资 ： -{reg6}
qstr_{!}{s1}^{s4}:_{reg4}|{!}{s1}^{s4}：{reg4}
qstr_{!}DEBUG____{s1}^NPC|{!}调 试 ：{s1}^NPC 在 重 新 加 入 序 列 中 ： {s5}^
qstr_{!}DEBUG:_{s4}_curre|{!}调 试 ：{s4}当 前 任 务 ： {reg2}，已 执 行 任 务 天 数 ：{reg3}，俘 虏 数 ：{reg4}，政 治 派 系 历 史 ：{reg5}
qstr_Appoint_next_marshal|委 任 下 一 任 元 帅 
qstr_Award_{s12}_as_fief|把 {s12}作 为 封 地 授 予 
qstr_{!}Error__{reg3}_|{!}错 误 （{reg3}）
qstr_{!}{s10}^Faction_pol|{!}{s10}^派 系 政 治 问 题 ：{s11}
qstr_{!}{s10}__on_agenda_|{!}{s10} （在 议 事 日 程 上 {reg4} 小 时 ）
qstr_{!}Defending|{!}正 在 防 御 
qstr_{!}Gathering_army|{!}正 在 集 结 军 队 
qstr_{!}Besieging_{s11}|{!}正 在 围 攻 {s11}
qstr_{!}Raiding_{s11}|{!}正 在 劫 掠 {s11}
qstr_{!}Attacking_enemies|{!}正 在 攻 击 {s11}附 近 的 敌 军 
qstr_No_one|没 有 人 
qstr_{!}{s12}__controvers|{!}{s12} （争 议 ：{reg21}）
qstr_{!}{s12}^Screening_p|{!}{s12}^掩 护 部 队 ： {s38}
qstr_Selected_faction_is:|选 择 的 阵 营 是 ： {s10}^^{s9}
qstr_You_are_currently_re|你 正 在 阅 读 {s8} 。 
qstr_You_are_not_reading_|你 没 有 在 读 任 何 书 籍 。 
qstr_{s5}_and_{s6}|{s5}和 {s6}
qstr_{!}{s5}_{s6}|{!}{s5}，{s6}
qstr_Your_estates_are:_{s|你 的 封 地 在 ： {s8} 。 ^{s9}
qstr_Monarch:_+{reg6}^|君 主 ： +{reg6}^
qstr_Marshal:_+{reg6}^|元 帅 ： +{reg6}^
qstr_Policy:_{reg6}%^|政 策 ： {reg6}%^
qstr_Castellan:_+{reg6}^|城 主 ： +{reg6}^
qstr_Current_party_size_i|当 前 部 队 规 模 为 {reg10}/{reg5} 。^当 前 部 队 规 模 影 响 因 素 有 ： ^^基 础 规 模 ： +30^统 帅 ： {s2}{reg1}^魅 力 ： {s3}{reg2}^声 望 ： {s4}{reg3}^^{s8}{s7}{s6}{s9}总 计 ： {reg5}
qstr_{!}{s2}^{s4}:_{reg1}|{!}{s2}^{s4}：{reg1} ({s3})
qstr_Your_relation_with_t|你 与 各 个 阵 营 的 关 系 为 ： ^{s2}
qstr_Consensual_and_non_c|已 启 用 自 愿 及 非 自 愿 SEX 
qstr_Consensual_sex_is_en|已 启 用 自 愿 SEX ，禁 用 非 自 愿 SEX 
qstr_Sexual_content_is_di|已 禁 用 自 愿 及 非 自 愿 SEX 
qstr_nowhere_in_particula|无 指 定 地 点 。
qstr_{reg1}_{s1}_{reg2?ac|{reg1}个 {s1}{reg2?接 受 :接 受 }你 的 提 议 。 
qstr_No_one_accepts_the_o|没 人 接 受 你 的 提 议 。 
qstr_You_start_reading_{s|你 开 始 读 {s2} 。 开 篇 的 几 页 让 你 感 觉 你 可 以 从 中 学 到 很 多 。你 决 定 把 它 带 在 身 边 ，空 了 就 读 几 页 。 
qstr_You_flip_through_the|你 翻 着 {s2}，但 你 发 现 里 面 的 内 容 很 难 理 解 。 看 了 几 页 后 ，你 感 觉 到 头 很 痛 ，然 后 放 弃 阅 读 了 。 
qstr_Grazing|牧 场 
qstr_Villagers|村 民 们 
qstr_You_have_encountered|你 遇 到 了 {s1}。 
qstr_You_have_engaged_{s1|你 对 {s1}发 动 了 攻 击 ，正 当 他 们 在 劫 掠 {s3}时 。 
qstr_You_were_caught_by_{|当 你 带 着 部 下 在 {s3}掠 夺 的 时 候 ，被 {s1}撞 见 了 。 
qstr_You_were_victorious!|你 获 胜 了 ！ 
qstr_The_battle_was_lost.|战 斗 失 败 。你 的 部 队 被 彻 底 粉 碎 。
qstr_Your_companions_carr|你 的 同 伴 把 你 从 战 场 上 运 了 出 来 。 
qstr_You_have_defeated_th|你 击 败 了 敌 人 。 
qstr_You_have_retreated_f|你 撤 离 了 战 场 。 
qstr_^^Ally_Casualties:{s|^^ 友 军 伤 亡 ： {s0}
qstr_{!}{s4}_skipped_in_p|{!}由 于 友 好 关 系 ，{s4}跳 过 了 俘 虏 环 节 。
qstr_{s1}_of_{s3}_managed|{s3}的 {s1}设 法 成 功 逃 脱 。 
qstr_{!}{s17}|{!}{s17}
qstr_{!}Victory_comment._|{!}胜 利 评 价 。玩 家 独 自 一 人 。
qstr_{!}Ordinary_victory_|{!}普 通 胜 利 评 价 。玩 家 提 供 了 至 少 40%的 战 力 。
qstr_{!}Player_participat|{!}玩 家 参 与 评 价 。敌 军 至 少 拥 有 1000 的 初 始 战 力 。
qstr_{!}No_victory_commen|{!}无 胜 利 评 价 。战 斗 规 模 很 小 ，玩 家 没 有 提 供 超 过 40%的 战 力 。
qstr_Some_of_your_tendons|你 的 一 些 肌 腱 在 战 斗 中 受 伤 了 ，你 失 去 1 点 力 量 。 
qstr_You_took_a_nasty_wou|你 遭 受 了 一 次 很 讨 厌 的 创 伤 导 致 你 即 使 痊 愈 了 还 是 有 些 跛 足 。 你 失 去 了 1 点 敏 捷 。 
qstr_You_have_trouble_thi|这 场 战 斗 结 束 以 后 ，你 发 现 你 思 考 问 题 的 时 候 有 些 困 难 ，也 许 是 因 为 战 斗 中 你 的 头 部 挨 了 特 别 重 的 一 击 。 而 且 现 在 你 频 繁 地 感 到 头 痛 。 你 的 智 力 下 降 1 点 。 
qstr_Perhaps_I_m_getting_|也 许 我 的 运 气 在 变 差 …… 
qstr_Retirement_is_starti|撤 退 一 词 正 变 得 越 来 越 动 听 。 
qstr_No_matter!_I_will_pe|没 关 系 ！ 我 将 继 续 坚 持 ！ 
qstr_What_did_I_do_to_des|我 过 去 都 干 了 些 什 么 ？ 
qstr_I_suppose_it_ll_make|我 猜 这 至 少 可 以 拿 来 编 一 个 很 好 的 故 事 …… 
qstr_{s9}_wants_you_to_fol|{s9}希 望 你 跟 随 {reg0?她 :他 }的 部 队 并 且 等 待 进 一 步 的 指 示 。 
qstr_{s8}_of_{s9}|{s9}的 {s8}
qstr_liege|国 王 
qstr_former_liege|前 任 国 王 
qstr_affiliate|封 臣 
qstr_former_companion|从 前 的 伙 伴 
qstr_marshall|元 帅 
qstr_vassal|成 员 
qstr__Your_own_banner_fli|你 自 己 的 旗 帜 飘 扬 在 城 堡 大 门 上 。 
qstr__You_see_the_banner_|你 看 到 你 的 {s11} {s7}的 旗 帜 挂 在 城 堡 大 门 上 。 
qstr__You_see_the_banner_o|你 看 到 {s7}的 旗 帜 挂 在 城 镇 大 门 上 。 
qstr__Your_own_banner_flie|你 自 己 的 旗 帜 飘 扬 在 城 镇 大 门 上 。 
qstr__You_see_the_banner_of|你 看 到 你 的 {s11}{s7}的 旗 帜 飘 扬 在 城 镇 大 门 上 。 
qstr__You_see_the_banner_of_|你 看 到 {s7}的 旗 帜 飘 扬 在 城 镇 大 门 上 。 
qstr_The_{reg6?town_s:cas|{reg6?城 镇 里 :城 堡 里 }的 食 物 储 备 可 以 维 持 {reg3}天 ({reg7}/{reg8}) 。 
qstr_The_{reg6?town_s:cast|{reg6?城 镇 里 :城 堡 里 }的 食 物 储 备 已 经 耗 尽 ，守 城 士 兵 正 在 挨 饿 。 
qstr_You_re_preparing_to_|你 正 准 备 攻 击 城 墙 ，准 备 工 作 需 要 {reg9}小 时 完 成 。 
qstr_Your_forces_are_buil|你 的 部 队 正 在 制 造 攻 城 塔 ，需 要 {reg9}小 时 完 成 。 
qstr_You_are_ready_to_att|你 已 准 备 好 随 时 攻 城 。 
qstr_The_siege_tower_is_b|攻 城 塔 已 建 造 完 毕 ，随 时 可 以 发 动 攻 击 。 
qstr_You_ve_been_driven_a|你 被 敌 人 从 城 墙 上 赶 下 去 了 ，现 在 敌 人 大 量 涌 入 街 道 内 。 如 果 你 能 击 败 他 们 ，你 也 许 能 扭 转 局 势 ，反 败 为 胜 。 
qstr_You_ve_breached_the_|你 已 经 突 破 了 城 墙 ，但 是 那 些 顽 固 的 守 卫 者 继 续 在 街 道 上 抵 抗 你 的 攻 击 ！ 你 得 消 灭 他 们 才 能 攻 击 城 镇 中 心 的 城 堡 主 楼 。 
qstr_As_a_last_defensive_|你 撤 退 到 城 堡 的 大 厅 里 进 行 最 后 的 防 御 。 你 和 你 手 下 残 余 的 士 兵 将 在 这 里 迎 接 一 场 恶 战 。 如 果 你 战 败 了 ，你 就 无 路 可 退 了 。 
qstr_The_town_centre_is_y|这 个 城 镇 的 镇 广 场 是 你 的 了 ，但 是 剩 下 的 守 卫 撤 退 到 城 堡 里 了 。 你 要 完 全 消 灭 他 们 才 能 取 得 完 全 的 胜 利 。 
qstr_The_remaining_defend|剩 下 的 守 卫 撤 退 到 城 堡 这 个 最 后 的 防 线 。 你 必 须 冲 进 去 清 除 剩 余 的 抵 抗 力 量 。 
qstr_However_since_you_a|但 由 于 你 未 曾 向 {s9}发 誓 效 忠 ， {reg0?她 :他 }不 可 能 承 认 你 是 这 个 {reg8?城 镇 :城 堡 }的 {领 主 /夫 人 } 。
qstr_The_enemy_has_been_f|敌 人 被 迫 撤 退 。 进 攻 停 止 了 ，但 是 围 城 还 在 继 续 。 
qstr_As_you_approach_you|你 走 近 城 堡 时 ，被 守 卫 发 现 了 ，他 们 打 开 大 门 欢 迎 他 们 的 {s10}.
qstr_As_you_approach_you_|你 走 近 城 堡 时 ，被 守 卫 发 现 了 ，他 们 打 开 大 门 欢 迎 他 们 的 {国 王 /女 王 } 。 
qstr_As_you_approach_you_a|你 走 近 城 堡 时 ，被 守 卫 发 现 了 ，他 们 打 开 大 门 欢 迎 他 们 的 {领 主 /夫 人 } 。 
qstr_{!}Prosperity:_{reg4|{!}繁 荣 度 ：{reg4}
qstr__This_village_and_th|这 个 村 子 及 周 围 的 土 地 属 于 你 。 
qstr__You_remember_that_t|你 记 得 这 个 村 子 及 周 围 的 土 地 属 于 你 的 {s11}{s7} 。 
qstr__You_remember_that_th|你 记 得 这 个 村 子 及 周 围 的 土 地 属 于 {s7} 。 
qstr__These_lands_belong_|这 些 土 地 不 属 于 任 何 人 。 
qstr_{!}_{s3}__{reg9}_.|{!} {s3} ({reg9})。
qstr__The_village_is_infe|这 个 村 子 受 到 {reg8}个 {s35}侵 扰 。 
qstr__The_peasants_{reg8?|农 民 们 {reg8?雇 佣 {reg8}个 佣 兵 :}发 动 了 针 对 你 的 叛 乱 。
qstr__The_village_has_bee|这 个 村 庄 遭 到 了 掠 夺 。 当 你 经 过 那 些 被 烧 毁 的 房 屋 时 ，无 数 冤 魂 四 散 而 去 。 
qstr__The_village_is_bein|村 庄 已 遭 洗 劫 。 
qstr_No_one_here_seems_to|这 里 没 人 想 加 入 你 的 部 队 。 
qstr_One_{s3}_volunteers_|1 个 {s3}的 志 愿 者 跟 随 你 。 
qstr_{reg5}_{s3}_voluntee|{reg5}个 {s3}的 志 愿 者 跟 随 你 。 
qstr_Try_as_you_might_yo|即 便 用 尽 了 全 力 ， 你 还 是 没 能 击 败 强 盗 。 怒 火 中 烧 的 歹 徒 将 村 庄 夷 为 平 地 以 惩 罚 任 何 胆 敢 反 抗 的 农 民 ， 随 后 他 们 便 抛 下 这 片 焦 土 ， 寻 找 下 一 个 可 以 蹂 躏 的 目 标 。
qstr_The_{s17}_has_the_fol|{s17}有 以 下 设 施 : {s18} 。 
qstr_The_assasins_beat_yo|刺 客 把 你 放 倒 ，然 后 让 你 独 自 躺 在 地 上 等 死 …… 
qstr_You_have_fallen._The|你 倒 下 了 。 强 盗 们 迅 速 从 你 的 身 上 搜 刮 钱 财 ，然 后 消 失 在 夜 幕 中 。 他 们 让 你 勉 强 活 了 下 来 。 
qstr_Luckily_some_of_your|幸 运 的 是 ，你 的 一 些 同 伴 发 现 你 没 有 回 来 就 出 来 寻 找 你 ，并 且 发 现 你 躺 在 路 边 。 他 们 急 忙 把 你 抬 带 安 全 的 地 方 并 为 你 包 扎 伤 口 。 
qstr_Luckily_some_passing|幸 运 的 是 ，一 些 路 过 的 镇 民 发 现 你 躺 在 路 边 上 ，他 们 差 点 就 把 你 当 成 乞 丐 了 。 他 们 把 你 抬 到 最 近 的 旅 馆 里 并 为 你 包 扎 伤 口 。 
qstr_You_fail_to_steal_an|你 没 能 偷 到 任 何 一 头 牛 。 
qstr_You_drive_away_{reg1|你 从 村 子 的 牛 栏 里 带 走 了 {reg17}{reg12?头 :头 }牛 。 
qstr__From_your_vantage_p|从 你 的 观 察 位 置 看 去 ， 你 发 现 了 一 个 符 合 {s50}描 述 的 人 ， 在 暴 动 中 手 持 一 把 剑 。 如 果 你 再 不 追 赶 ， 逃 亡 者 就 要 溜 了 ！ 
qstr_{!}DEBUG____Prosperi|{!}调 试 ：繁 荣 度 ：{reg4}
qstr_You_are_at_{s2}.|你 在 {s2} 。 
qstr__This_castle_has_no_|这 座 城 堡 没 有 驻 军 。 
qstr__The_banner_of_your_|你 看 到 你 的 {s11}{s7}的 旗 帜 飘 扬 在 城 镇 大 门 上 。 
qstr__This_town_has_no_ga|这 座 城 镇 没 有 驻 军 。 
qstr__You_have_successful|你 成 功 潜 入 了 。 
qstr__Your_{reg1?capital_|你 的 {reg1?首 都 :宫 廷 }在 这 {reg0?: ，你 的 配 偶 {s0}也 在 其 中 }。
qstr__Your_household_can_|你 的 一 家 人 都 在 这 。
qstr_{s13}_A_tournament_w|{s13}一 场 竞 技 大 赛 很 快 就 要 在 此 举 行 。 
